2.5: NM
2.0833333333333335: KS
2.0: VA
2.0: ID
1.7142857142857142: NJ
1.5675675675675675: NY
1.5555555555555556: OK
1.4: HI
1.4: SC
1.3846153846153846: KY
1.3333333333333333: NE
1.25: AR
1.18: FL
1.1666666666666667: UT
1.0: ME
1.0: MT
1.0: WI
0.9375: MD
0.9166666666666666: PA
0.898989898989899: CA
0.7272727272727273: MI
0.7222222222222222: TX
0.6666666666666666: TN
0.6363636363636364: AL
0.5909090909090909: IL
0.5769230769230769: GA
0.5714285714285714: NV
0.5: LA
0.375: WA
0.36363636363636365: CO
0.35714285714285715: MA
0.14285714285714285: MN
0.14285714285714285: OR
0.07142857142857142: AZ
0.0: DE
0.0: IN
0.0: AK
-0.25: MO
-0.25: NH
-0.25: WV
-0.3076923076923077: DC
-0.3333333333333333: CT
-0.47058823529411764: OH
-0.5625: NC
-0.6666666666666666: MS
-9.0: IA
